code	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Harte et al., 2015 GCB_75	AGB	19	184.7065941	35.68878153	0	NA	NA	19	200.4611145	35.43786711	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	38.95	-106.98	1	3	NA	750	Alp	NA	2	NA	NA	NA	NA	NA	NA	NA
Harte et al., 2015 GCB_75	Ratio_S	18	31.44777778	9.998625526	0	NA	NA	18	50.11888889	16.617158	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	38.95	-106.98	1	3	NA	750	Alp	NA	2	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_134	Ratio_S	3	54.85333333	3.205890412	0	NA	NA	3	54.45333333	6.206257595	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_134	COV	3	253.65	40.93228677	0	NA	NA	3	253.3866667	8.035927659	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_135	COV	1	297.09	NA	0	NA	NA	1	306.82	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hartley et al., 1999_135	Ratio_S	1	54.8540746	3.204784204	0	NA	NA	1	54.45377472	6.207484556	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.35	18.82	1	1	na	300	tem	NA	5	NA	NA	NA	NA	NA	NA	NA
Hasvik, master thesis. 2018_27	SP	1	43.93	NA	0	NA	NA	1	45.96	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	60.6	7.52	1	3	NA	1030	Alp	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hasvik, master thesis. 2018_27	COV	1	113.63	NA	0	NA	NA	1	118.12	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	60.6	7.52	1	3	NA	1030	Alp	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hasvik, master thesis. 2018_27	Ratio_S	1	55.57	NA	0	NA	NA	1	51.6	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	60.6	7.52	1	3	NA	1030	Alp	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Henry et al 2018_34	AGB	1	1070.994484	87.32880232	1	1204.622758	98.22484085	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	54.59	13.11	1	1	3	541	Tem	NA	NA	-192	NA	NA	NA	NA	NA	NA
Henry et al 2018_34	COV	1	103.2695398	4.441197955	1	113.393718	4.651570489	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	54.59	13.11	1	1	3	541	Tem	NA	NA	-192	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	SP	4	6.225	0.478713554	0	NA	NA	4	6.225	0.330403793	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	3	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	COV	4	95.3	20.66994598	0	NA	NA	4	95.425	23.68943154	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	3	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	H	4	0.7825	0.269242765	0	NA	NA	4	0.85	0.147196014	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	3	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	AGB	4	95.3	20.66994598	0	NA	NA	4	95.425	23.68943154	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	3	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_83	Ratio_S	4	30.1375	6.55566104	0	NA	NA	4	32.2575	8.476927018	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.45	-157.4	1	3	NA	NA	arc	NA	1.5	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	COV	4	101.7	21.83040693	0	NA	NA	4	91.275	13.75775539	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	3	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	H	4	0.6875	0.329987373	0	NA	NA	4	0.8175	0.175760253	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	3	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	Ratio_S	4	39.23	2.107621092	0	NA	NA	4	46.29	4.090158921	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	3	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	AGB	4	101.7	21.83040693	0	NA	NA	4	91.275	13.75775539	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	3	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hollister et al., 2015_84	SP	4	6.075	0.567890835	0	NA	NA	4	6.575	0.82209083	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	71.32	-156.6	1	3	NA	NA	arc	NA	1.7	NA	NA	NA	NA	NA	NA	NA
Hudson & Henry (2010)_22	H	3	2.156666667	0.155349069	0	NA	NA	3	2.11	0.121243557	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	3	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Hudson & Henry (2010)_22	COV	3	113.9333333	13.99368905	0	NA	NA	3	122.9666667	14.37857202	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	3	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Hudson & Henry (2010)_22	SP	3	15.96666667	2.510644008	0	NA	NA	3	16.5	3.251153641	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	78.8	-75.92	1	3	-15	NA	Arc	NA	1	NA	NA	NA	NA	NA	NA	NA
Iturrate-Garcia et al 2017_51	AGB_S	2	NA	NA	0	NA	NA	1	NA	NA	0	NA	NA	1	NA	NA	0	NA	NA	0	NA	NA	70.82	147.47	1	1	-13.1	210	Arc	0.7	1	NA	NA	5.6	NA	NA	NA	NA
Iturrate-Garcia et al 2017_51	AGB	2	9.92	2.206173157	0	NA	NA	1	10.29	NA	0	NA	NA	1	12.93	NA	0	NA	NA	0	NA	NA	70.82	147.47	1	1	-13.1	210	Arc	0.7	1	NA	NA	5.6	NA	NA	NA	NA
Iturrate-Garcia et al 2017_52	AGB_S	1	NA	NA	0	NA	NA	1	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.82	147.47	1	1	-13.1	210	Arc	0.7	1	NA	NA	5.6	NA	NA	NA	NA
Iturrate-Garcia et al 2017_52	AGB	1	NA	NA	0	NA	NA	1	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	70.82	147.47	1	1	-13.1	210	Arc	0.7	1	NA	NA	5.6	NA	NA	NA	NA
Jonsdottir et al., 2005_30	SP	2	13.75	0.212132034	0	NA	NA	2	14.45	0.070710678	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	65.27	-20.25	1	1	0.3	397	Arc	NA	0.85	NA	NA	NA	NA	NA	NA	NA
Jonsdottir et al., 2005_30	H	2	0.675	0.007071068	0	NA	NA	2	0.72	0.042426407	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	65.27	-20.25	1	1	0.3	397	Arc	NA	0.85	NA	NA	NA	NA	NA	NA	NA
Kimball et al. 2014_35	COV	4	41.23552124	20.86181051	4	27.10424711	9.723190383	0	NA	NA	4	55.05791506	27.82024087	4	31.27413128	18.00249377	3	42.83140283	19.34472108	0	NA	NA	33.74	-117.7	2	1	NA	300	Med & Des	NA	NA	-171.6	120	1.5	NA	NA	-257.4	180
Klanderud & Totland, 2005_26	DEN	2	12.12	1.71119841	0	NA	NA	2	12.34	3.309259736	0	NA	NA	2	11.875	3.358757211	0	NA	NA	2	10.585	5.366940469	60.6	7.52	1	1	NA	1030	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Klanderud & Totland, 2005_26	H	2	3.12	0.183847763	0	NA	NA	2	3.185	0.219203102	0	NA	NA	2	3.21	0.127279221	0	NA	NA	2	3.145	0.756604256	60.6	7.52	1	1	NA	1030	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Klanderud & Totland, 2005_26	SP	2	38.35	3.323401872	0	NA	NA	2	39.15	7.14177849	0	NA	NA	2	40.3	4.242640687	0	NA	NA	2	34.35	14.35426766	60.6	7.52	1	1	NA	1030	Alp	NA	1.5	NA	NA	10	NA	15	NA	NA
Klein et al 2004_18	SP	1	35	2.556818182	0	NA	NA	1	26.05113636	2.897727273	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2004_19	SP	1	31.25	2.727272727	0	NA	NA	1	30.73863636	3.068181818	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2007_20	Ratio_S	1	0.427272727	NA	0	NA	NA	1	0.533333333	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2007_20	ANPP	1	221.4765101	11.38963943	0	NA	NA	1	211.409396	11.38963943	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2007_21	ANPP	1	210	11.3137085	0	NA	NA	1	218	16.97056275	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Klein et al 2007_21	Ratio_S	1	0.457142857	NA	0	NA	NA	1	0.495412844	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	37.62	101.2	2	1	-1.7	562	Alp	1.5	NA	NA	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_1001	COV	1	616.6666667	112.5	1	612.5	83.33333333	1	653.3613445	100.8403361	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	3	7.4	1263	Tem	0.2	NA	-316	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_1001	SP	1	3.748691099	0.502617801	1	3.6875	0.625	1	3.308900524	0.502617801	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	3	7.4	1263	Tem	0.2	NA	-316	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_1001	H	1	1.09	NA	1	1.07	NA	1	1.03	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	3	7.4	1263	Tem	0.2	NA	-316	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_2	SP	1	2.115183246	0.502617801	1	2.1875	0.375	1	2.178010471	0.753926702	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_2	COV	1	241.6666667	33.33333333	1	233.3333333	16.66666667	1	212.6055956	100.8403361	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	55.88	11.97	1	2	9.4	757	Tem	0.2	NA	-60.6	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_3	COV	1	391.6666667	33.33333333	1	391.6666667	41.66666667	1	371.8487395	33.61344538	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	3	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_3	SP	1	7.078534031	2.513089005	1	6.875	2.25	1	7.078534031	1.759162304	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	3	8.7	669	Tem	0.9	NA	-120.4	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_4	COV	1	741.6666667	83.33333333	1	729.1666667	91.66666667	1	632.3529412	88.23529412	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	52.4	5.92	1	3	8.9	1005	Tem	0.3	NA	-190.9	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_5	COV	1	100	12.5	1	129.1666667	12.5	1	77.73109244	8.403361345	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	3	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_5	SP	1	9.214659686	2.261780105	1	9.1875	3	1	8.209424084	2.261780105	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.88	19.38	1	3	10.5	558	Tem	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	COV	1	83.33333333	8.333333333	1	79.16666667	4.166666667	1	77.73109244	8.403361345	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	3	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	H	1	4.86	NA	1	4.87	NA	1	4.59	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	3	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	SP	1	10.03141361	2.638743455	1	10	1.5	1	11.16230366	1.633507853	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	3	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_6	AGB	6	264.2766667	38.35864631	6	240.29	37.85562679	6	239.64	35.61044285	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	3	16.1	558	Med & Des	0.4	NA	-122.76	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_7-garraf	SP	1	14.68062827	1.759162304	1	11.75	2.375	1	13.10994764	2.136125654	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Kroel-Dulay et al 2015_7-garraf	COV	1	235	67.66917293	1	234.962406	60.15037594	1	258	120.3007519	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Kudo & Suzuki (2003)_33	AGB	1	1280.84	NA	0	NA	NA	1	1877.833753	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	43.55	142.88	1	2	NA	NA	Alp	NA	1.9	NA	NA	NA	NA	NA	NA	NA
Liu et al, no published_80	DEN	9	362.6666667	79.65550828	0	NA	NA	0	NA	NA	0	NA	NA	9	394.3333333	96.20420989	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	6	NA	NA	NA	NA
Liu et al, no published_80	Ratio_S	9	89.54403108	3.710979579	0	NA	NA	0	NA	NA	0	NA	NA	9	70.29040087	6.004185443	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	6	NA	NA	NA	NA
Liu et al, no published_80	SP	9	12.11111111	1.364225462	0	NA	NA	0	NA	NA	0	NA	NA	9	11.55555556	2.068278941	0	NA	NA	0	NA	NA	41.3	1.82	2	1	15.2	569	Med & Des	0.6	NA	-273.91	NA	6	NA	NA	NA	NA
Liu et al, no published_9	AGB	18	714.2194542	135.0353105	18	701.9315263	151.5376301	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al, no published_9	COV	18	33.82222222	3.564604498	18	33.61851852	4.532283935	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2017_9	H	18	1.214444982	0.389929244	18	0.485578584	0.256265422	18	0.898901491	0.467558309	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2017_9	Ratio_S	18	89.47794121	4.52285248	18	94.96496716	7.727212509	18	92.26256154	3.735298712	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2021JE_9	DEN	21	35.57925733	4.119146019	21	30.00019309	2.878424655	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Liu et al., 2021JE_9	SP	21	12.65079365	1.492485586	21	10.52380952	1.167006753	21	11.9047619	1.650396779	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	2	3	15.2	569	Med & Des	0.6	NA	-273.91	NA	NA	NA	NA	NA	NA
Lokken et al 2019_54	Ratio_S	7	11.49	NA	0	NA	NA	7	14.81	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	62.3	9.62	1	3	-0.2	454	Alp	1.6	NA	NA	NA	NA	NA	NA	NA	NA
Lokken et al 2019_54	COV	7	82	3.408135871	0	NA	NA	7	72.08	8.596107646	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	62.3	9.62	1	3	-0.2	454	Alp	1.6	NA	NA	NA	NA	NA	NA	NA	NA
Madan et al., 2007_96	COV	3	47.7	7.315538258	0	NA	NA	0	NA	NA	0	NA	NA	3	36.30333333	4.598068435	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_96	H	3	1.713333333	0.172143351	0	NA	NA	0	NA	NA	0	NA	NA	3	1.713333333	0.182300119	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_96	SP	3	10.30666667	1.400047618	0	NA	NA	0	NA	NA	0	NA	NA	3	8.37	1.200041666	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_97	COV	3	47.7	7.315538258	0	NA	NA	0	NA	NA	0	NA	NA	3	43.62	5.115632903	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_97	H	3	1.713333333	0.172143351	0	NA	NA	0	NA	NA	0	NA	NA	3	1.703333333	0.077674535	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Madan et al., 2007_97	SP	3	10.30666667	1.400047618	0	NA	NA	0	NA	NA	0	NA	NA	3	11.21333333	0.309246396	0	NA	NA	0	NA	NA	78.93	11.83	1	1	-9	850	arc	NA	NA	NA	NA	0.5	NA	NA	NA	NA
Massad et al., 2013_108	H	2	2.199274194	0.168679182	0	NA	NA	0	NA	NA	0	NA	NA	2	1.591370968	0.001938841	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_108	SP	2	13.3775	2.4713382	0	NA	NA	0	NA	NA	0	NA	NA	2	9.375	0.530330086	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_109	H	2	2.308790323	0.157274234	0	NA	NA	0	NA	NA	0	NA	NA	2	1.967580645	0.102416434	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_109	SP	2	13.375	0.530330086	0	NA	NA	0	NA	NA	0	NA	NA	2	11.125	0.176776695	0	NA	NA	0	NA	NA	-13.07	-52.38	1	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_110	SP	2	5.185	0.799030663	0	NA	NA	0	NA	NA	0	NA	NA	2	5.505	0.176776695	0	NA	NA	0	NA	NA	-13.07	-52.38	2	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_110	H	2	1.42	0.183847763	0	NA	NA	0	NA	NA	0	NA	NA	2	1.43	0.197989899	0	NA	NA	0	NA	NA	-13.07	-52.38	2	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_111	SP	2	4.375	0.346482323	0	NA	NA	0	NA	NA	0	NA	NA	2	4.25	0.169705627	0	NA	NA	0	NA	NA	-13.07	-52.38	2	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Massad et al., 2013_111	H	2	1.23	0.113137085	0	NA	NA	0	NA	NA	0	NA	NA	2	1.07	0.056568542	0	NA	NA	0	NA	NA	-13.07	-52.38	2	1	NA	NA	tro	NA	NA	NA	NA	10	NA	NA	NA	NA
Matis et al 2011_64	H	1	0.691729323	0.05	1	0.458646617	0.05	0	NA	NA	1	0.789473684	0.05	0	NA	NA	0	NA	NA	0	NA	NA	37.08	-3.47	1	1	7.58	888	Med & Des	NA	NA	-106.73	180	NA	NA	NA	NA	NA
Matis et al 2011_64	SP	1	1.378995434	0.347031963	1	1.132420091	0.273972603	0	NA	NA	1	2.127853881	0.456621005	0	NA	NA	0	NA	NA	0	NA	NA	37.08	-3.47	1	1	7.58	888	Med & Des	NA	NA	-106.73	180	NA	NA	NA	NA	NA
McAbee et al 2017_154	AGB	1	1.92513369	0.60501115	0	NA	NA	0	NA	NA	1	4.064171123	1.815033449	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
McAbee et al 2017_155	AGB	1	1.92513369	0.60501115	0	NA	NA	0	NA	NA	1	7.700534759	0.907516725	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
McAbee et al 2017_156	AGB	1	11.3368984	7.260133796	0	NA	NA	0	NA	NA	1	21.17647059	7.562639371	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
McAbee et al 2017_157	AGB	1	11.3368984	7.260133796	0	NA	NA	0	NA	NA	1	37.64705882	6.352617072	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	2	5.5	213	tem	NA	NA	NA	200	NA	NA	NA	NA	NA
Moloney et al, 2019_138	AGB	2	0.269922879	0.254498715	0	NA	NA	0	NA	NA	1	2.344473008	0.208226221	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_139	AGB	1	0.30848329	0.23907455	0	NA	NA	0	NA	NA	1	3.123393316	0.215938303	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	-18.5	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_140	AGB	1	0.416452442	0.262210797	0	NA	NA	0	NA	NA	1	2.143958869	0.200514139	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	-18.5	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_141	AGB	1	0.385604113	0.246786632	0	NA	NA	0	NA	NA	1	1.611825193	0.223650386	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	-18.5	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_142	DEN	1	24.70588235	27.5	1	14.55882353	17.20588235	0	NA	NA	1	22.94117647	26.02941176	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_143	DEN	1	27.20588235	30.44117647	1	17.94117647	21.02941176	0	NA	NA	1	35.88235294	40.44117647	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_144	DEN	1	25.73529412	28.38235294	1	18.52941176	21.47058824	0	NA	NA	1	37.35294118	42.20588235	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_145	DEN	1	27.20588235	30.29411765	1	16.61764706	19.41176471	0	NA	NA	1	33.23529412	37.5	0	NA	NA	0	NA	NA	0	NA	NA	32.7	-112.84	1	1	NA	153	med & Des	NA	NA	-95.17	203.49	NA	NA	NA	NA	NA
Moloney et al, 2019_146	DEN	1	0.9375	0.535714286	0	NA	NA	0	NA	NA	1	7.5	2.008928571	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_147	DEN	1	8.705357143	2.544642857	0	NA	NA	0	NA	NA	1	19.15178571	5.357142857	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_148	DEN	1	19.6875	5.758928571	0	NA	NA	0	NA	NA	1	28.66071429	7.901785714	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_149	DEN	1	18.34821429	5.223214286	0	NA	NA	0	NA	NA	1	26.51785714	7.232142857	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_150	DEN	1	4.017857143	1.339285714	0	NA	NA	0	NA	NA	1	8.839285714	3.75	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
Moloney et al, 2019_151	DEN	1	10.04464286	3.080357143	0	NA	NA	0	NA	NA	1	23.70535714	9.508928571	0	NA	NA	0	NA	NA	0	NA	NA	35.16	-116.89	1	1	NA	110	med & Des	NA	NA	NA	210.1	NA	NA	NA	NA	NA
